profile,type,REGION,time,price
wind,green,QLD,1/05/2025,41
wind,green,SA,1/05/2025,41
wind,green,VIC,1/05/2025,41
baseload,green,NSW,1/05/2025,41
baseload,green,QLD,1/05/2025,41
baseload,green,SA,1/05/2025,41
baseload,green,VIC,1/05/2025,41
baseload,Energy,NSW,1/06/2025,151.5
baseload,Energy,QLD,1/06/2025,130.3
baseload,Energy,SA,1/06/2025,87.5
baseload,Energy,VIC,1/06/2025,120.2
solar,Energy,NSW,1/06/2025,81
solar,Energy,QLD,1/06/2025,76.8
solar,Energy,SA,1/06/2025,58.1
solar,Energy,VIC,1/06/2025,95.8
solar,green,NSW,1/06/2025,41
solar,green,QLD,1/06/2025,41
solar,green,SA,1/06/2025,41
solar,green,VIC,1/06/2025,41
wind,Energy,NSW,1/06/2025,134.3
wind,Energy,QLD,1/06/2025,130.4
wind,Energy,SA,1/06/2025,55.1
wind,Energy,VIC,1/06/2025,88.8
wind,green,NSW,1/06/2025,41
wind,green,QLD,1/06/2025,41
wind,green,SA,1/06/2025,41
wind,green,VIC,1/06/2025,41
baseload,green,NSW,1/06/2025,41
baseload,green,QLD,1/06/2025,41
baseload,green,SA,1/06/2025,41
baseload,green,VIC,1/06/2025,41
baseload,Energy,NSW,1/07/2025,141.2
baseload,Energy,QLD,1/07/2025,85.8
baseload,Energy,SA,1/07/2025,115.7
baseload,Energy,VIC,1/07/2025,91.3
solar,Energy,NSW,1/07/2025,67.1
solar,Energy,QLD,1/07/2025,26.6
solar,Energy,SA,1/07/2025,92.6
solar,Energy,VIC,1/07/2025,59.4
solar,green,NSW,1/07/2025,41
solar,green,QLD,1/07/2025,41
solar,green,SA,1/07/2025,41
solar,green,VIC,1/07/2025,41
wind,Energy,NSW,1/07/2025,130.9
wind,Energy,QLD,1/07/2025,84.5
wind,Energy,SA,1/07/2025,60.3
wind,Energy,VIC,1/07/2025,66.3
wind,green,NSW,1/07/2025,41
wind,green,QLD,1/07/2025,41
wind,green,SA,1/07/2025,41
wind,green,VIC,1/07/2025,41
baseload,green,NSW,1/07/2025,41
baseload,green,QLD,1/07/2025,41
baseload,green,SA,1/07/2025,41
baseload,green,VIC,1/07/2025,41
baseload,Energy,NSW,1/08/2025,117.9
baseload,Energy,QLD,1/08/2025,82.1
baseload,Energy,SA,1/08/2025,140.3
baseload,Energy,VIC,1/08/2025,85.7
solar,Energy,NSW,1/08/2025,65.6
solar,Energy,QLD,1/08/2025,23
solar,Energy,SA,1/08/2025,106
solar,Energy,VIC,1/08/2025,56.2
solar,green,NSW,1/08/2025,41
solar,green,QLD,1/08/2025,41
solar,green,SA,1/08/2025,41
solar,green,VIC,1/08/2025,41
wind,Energy,NSW,1/08/2025,114.8
wind,Energy,QLD,1/08/2025,86.6
wind,Energy,SA,1/08/2025,47.4
wind,Energy,VIC,1/08/2025,50.1
wind,green,NSW,1/08/2025,41
wind,green,QLD,1/08/2025,41
wind,green,SA,1/08/2025,41
wind,green,VIC,1/08/2025,41
baseload,green,NSW,1/08/2025,41
baseload,green,QLD,1/08/2025,41
baseload,green,SA,1/08/2025,41
baseload,green,VIC,1/08/2025,41
baseload,Energy,NSW,1/09/2025,99
baseload,Energy,QLD,1/09/2025,76.8
baseload,Energy,SA,1/09/2025,76
baseload,Energy,VIC,1/09/2025,64.1
solar,Energy,NSW,1/09/2025,38.4
solar,Energy,QLD,1/09/2025,16.8
solar,Energy,SA,1/09/2025,28.7
solar,Energy,VIC,1/09/2025,22.8
solar,green,NSW,1/09/2025,41
solar,green,QLD,1/09/2025,41
solar,green,SA,1/09/2025,41
solar,green,VIC,1/09/2025,41
wind,Energy,NSW,1/09/2025,96
wind,Energy,QLD,1/09/2025,82.6
wind,Energy,SA,1/09/2025,47.5
wind,Energy,VIC,1/09/2025,29.1
wind,green,NSW,1/09/2025,41
wind,green,QLD,1/09/2025,41
wind,green,SA,1/09/2025,41
wind,green,VIC,1/09/2025,41
baseload,green,NSW,1/09/2025,41
baseload,green,QLD,1/09/2025,41
baseload,green,SA,1/09/2025,41
baseload,green,VIC,1/09/2025,41
baseload,Energy,NSW,1/10/2025,93.9
baseload,Energy,QLD,1/10/2025,77.7
baseload,Energy,SA,1/10/2025,44.8
baseload,Energy,VIC,1/10/2025,49.6
solar,Energy,NSW,1/10/2025,47.1
solar,Energy,QLD,1/10/2025,22.6
solar,Energy,SA,1/10/2025,16.5
solar,Energy,VIC,1/10/2025,18.5
solar,green,NSW,1/10/2025,41
solar,green,QLD,1/10/2025,41
solar,green,SA,1/10/2025,41
solar,green,VIC,1/10/2025,41
wind,Energy,NSW,1/10/2025,95.3
wind,Energy,QLD,1/10/2025,88.4
wind,Energy,SA,1/10/2025,22
wind,Energy,VIC,1/10/2025,26.6
wind,green,NSW,1/10/2025,41
wind,green,QLD,1/10/2025,41
wind,green,SA,1/10/2025,41
wind,green,VIC,1/10/2025,41
baseload,green,NSW,1/10/2025,41
baseload,green,QLD,1/10/2025,41
baseload,green,SA,1/10/2025,41
baseload,green,VIC,1/10/2025,41
baseload,Energy,NSW,1/11/2025,89.5
baseload,Energy,QLD,1/11/2025,91.1
baseload,Energy,SA,1/11/2025,48.3
baseload,Energy,VIC,1/11/2025,54.8
solar,Energy,NSW,1/11/2025,45.3
solar,Energy,QLD,1/11/2025,56.1
solar,Energy,SA,1/11/2025,10.4
solar,Energy,VIC,1/11/2025,15.6
solar,green,NSW,1/11/2025,41
solar,green,QLD,1/11/2025,41
solar,green,SA,1/11/2025,41
solar,green,VIC,1/11/2025,41
wind,Energy,NSW,1/11/2025,86.9
wind,Energy,QLD,1/11/2025,98.6
wind,Energy,SA,1/11/2025,23
wind,Energy,VIC,1/11/2025,37.1
wind,green,NSW,1/11/2025,41
wind,green,QLD,1/11/2025,41
wind,green,SA,1/11/2025,41
wind,green,VIC,1/11/2025,41
baseload,green,NSW,1/11/2025,41
baseload,green,QLD,1/11/2025,41
baseload,green,SA,1/11/2025,41
baseload,green,VIC,1/11/2025,41
baseload,Energy,NSW,1/12/2025,82
baseload,Energy,QLD,1/12/2025,91.9
baseload,Energy,SA,1/12/2025,94.6
baseload,Energy,VIC,1/12/2025,79.7
solar,Energy,NSW,1/12/2025,51.8
solar,Energy,QLD,1/12/2025,57.4
solar,Energy,SA,1/12/2025,75.1
solar,Energy,VIC,1/12/2025,51.3
solar,green,NSW,1/12/2025,41
solar,green,QLD,1/12/2025,41
solar,green,SA,1/12/2025,41
solar,green,VIC,1/12/2025,41
wind,Energy,NSW,1/12/2025,84.8
wind,Energy,QLD,1/12/2025,97.2
wind,Energy,SA,1/12/2025,63.3
wind,Energy,VIC,1/12/2025,60.5
wind,green,NSW,1/12/2025,41
wind,green,QLD,1/12/2025,41
wind,green,SA,1/12/2025,41
wind,green,VIC,1/12/2025,41
baseload,green,NSW,1/12/2025,41
baseload,green,QLD,1/12/2025,41
baseload,green,SA,1/12/2025,41
baseload,green,VIC,1/12/2025,41
baseload,Energy,NSW,1/01/2026,122.5
baseload,Energy,QLD,1/01/2026,102.2
baseload,Energy,SA,1/01/2026,76.5
baseload,Energy,VIC,1/01/2026,82.9
solar,Energy,NSW,1/01/2026,58.1
solar,Energy,QLD,1/01/2026,59.9
solar,Energy,SA,1/01/2026,51.3
solar,Energy,VIC,1/01/2026,61.4
solar,green,NSW,1/01/2026,33.8
solar,green,QLD,1/01/2026,33.8
solar,green,SA,1/01/2026,33.8
solar,green,VIC,1/01/2026,33.8
wind,Energy,NSW,1/01/2026,98.4
wind,Energy,QLD,1/01/2026,108.7
wind,Energy,SA,1/01/2026,55.2
wind,Energy,VIC,1/01/2026,68
wind,green,NSW,1/01/2026,33.8
wind,green,QLD,1/01/2026,33.8
wind,green,SA,1/01/2026,33.8
wind,green,VIC,1/01/2026,33.8
baseload,green,NSW,1/01/2026,33.8
baseload,green,QLD,1/01/2026,33.8
baseload,green,SA,1/01/2026,33.8
baseload,green,VIC,1/01/2026,33.8
baseload,Energy,NSW,1/02/2026,86.6
baseload,Energy,QLD,1/02/2026,103.5
baseload,Energy,SA,1/02/2026,60.3
baseload,Energy,VIC,1/02/2026,78.4
solar,Energy,NSW,1/02/2026,55.9
solar,Energy,QLD,1/02/2026,56.5
solar,Energy,SA,1/02/2026,37.4
solar,Energy,VIC,1/02/2026,53.9
solar,green,NSW,1/02/2026,33.8
solar,green,QLD,1/02/2026,33.8
solar,green,SA,1/02/2026,33.8
solar,green,VIC,1/02/2026,33.8
wind,Energy,NSW,1/02/2026,87.8
wind,Energy,QLD,1/02/2026,103.5
wind,Energy,SA,1/02/2026,48.8
wind,Energy,VIC,1/02/2026,61.4
wind,green,NSW,1/02/2026,33.8
wind,green,QLD,1/02/2026,33.8
wind,green,SA,1/02/2026,33.8
wind,green,VIC,1/02/2026,33.8
baseload,green,NSW,1/02/2026,33.8
baseload,green,QLD,1/02/2026,33.8
baseload,green,SA,1/02/2026,33.8
baseload,green,VIC,1/02/2026,33.8
